#Coverage	Number of genomic locations
780.0	685.0
781.0	713.0
782.0	730.0
783.0	727.0
784.0	692.0
785.0	693.0
786.0	715.0
787.0	666.0
788.0	699.0
789.0	635.0
790.0	644.0
791.0	670.0
792.0	657.0
793.0	677.0
794.0	696.0
795.0	596.0
796.0	664.0
797.0	587.0
798.0	669.0
799.0	661.0
800.0	656.0
801.0	628.0
802.0	670.0
803.0	643.0
804.0	654.0
805.0	584.0
806.0	645.0
807.0	646.0
808.0	675.0
809.0	679.0
810.0	638.0
811.0	642.0
812.0	603.0
813.0	620.0
814.0	627.0
815.0	590.0
816.0	578.0
817.0	611.0
818.0	641.0
819.0	580.0
820.0	570.0
821.0	673.0
822.0	620.0
823.0	643.0
824.0	604.0
825.0	621.0
826.0	649.0
827.0	616.0
828.0	642.0
829.0	613.0
830.0	641.0
831.0	610.0
832.0	622.0
833.0	576.0
834.0	577.0
835.0	565.0
836.0	571.0
837.0	567.0
838.0	600.0
839.0	591.0
840.0	598.0
841.0	591.0
842.0	634.0
843.0	621.0
844.0	614.0
845.0	563.0
846.0	645.0
847.0	577.0
848.0	606.0
849.0	608.0
850.0	599.0
851.0	582.0
852.0	624.0
853.0	617.0
854.0	623.0
855.0	567.0
856.0	606.0
857.0	626.0
858.0	599.0
859.0	608.0
860.0	631.0
861.0	560.0
862.0	614.0
863.0	597.0
864.0	588.0
865.0	569.0
866.0	537.0
867.0	626.0
868.0	588.0
869.0	563.0
870.0	549.0
871.0	623.0
872.0	622.0
873.0	594.0
874.0	565.0
875.0	557.0
876.0	626.0
877.0	605.0
878.0	573.0
879.0	562.0
880.0	568.0
881.0	588.0
882.0	566.0
883.0	605.0
884.0	533.0
885.0	594.0
886.0	613.0
887.0	634.0
888.0	585.0
889.0	625.0
890.0	571.0
891.0	670.0
892.0	574.0
893.0	630.0
894.0	591.0
895.0	583.0
896.0	537.0
897.0	600.0
898.0	604.0
899.0	555.0
900.0	577.0
901.0	562.0
902.0	600.0
903.0	592.0
904.0	597.0
905.0	561.0
906.0	588.0
907.0	497.0
908.0	540.0
909.0	516.0
910.0	533.0
911.0	506.0
912.0	538.0
913.0	531.0
914.0	532.0
915.0	517.0
916.0	508.0
917.0	509.0
918.0	503.0
919.0	533.0
920.0	533.0
921.0	520.0
922.0	537.0
923.0	489.0
924.0	518.0
925.0	525.0
926.0	537.0
927.0	512.0
928.0	542.0
929.0	526.0
930.0	522.0
931.0	519.0
932.0	560.0
933.0	515.0
934.0	509.0
935.0	540.0
936.0	541.0
937.0	517.0
938.0	501.0
939.0	523.0
940.0	513.0
941.0	522.0
942.0	553.0
943.0	507.0
944.0	492.0
945.0	501.0
946.0	506.0
947.0	528.0
948.0	525.0
949.0	472.0
950.0	482.0
951.0	493.0
952.0	493.0
953.0	491.0
954.0	440.0
955.0	512.0
956.0	527.0
957.0	496.0
958.0	481.0
959.0	502.0
960.0	519.0
961.0	508.0
962.0	472.0
963.0	486.0
964.0	502.0
965.0	507.0
966.0	502.0
967.0	483.0
968.0	468.0
969.0	480.0
970.0	480.0
971.0	524.0
972.0	504.0
973.0	520.0
974.0	484.0
975.0	508.0
976.0	538.0
977.0	545.0
978.0	490.0
979.0	521.0
980.0	524.0
981.0	527.0
982.0	519.0
983.0	538.0
984.0	524.0
985.0	500.0
986.0	482.0
987.0	501.0
988.0	485.0
989.0	548.0
990.0	506.0
991.0	563.0
992.0	528.0
993.0	487.0
994.0	489.0
995.0	516.0
996.0	510.0
997.0	472.0
998.0	508.0
999.0	495.0
1000.0	497.0
1001.0	489.0
1002.0	495.0
1003.0	502.0
1004.0	490.0
1005.0	440.0
1006.0	535.0
1007.0	483.0
1008.0	543.0
1009.0	499.0
1010.0	493.0
1011.0	488.0
1012.0	524.0
1013.0	463.0
1014.0	502.0
1015.0	483.0
1016.0	460.0
1017.0	460.0
1018.0	500.0
1019.0	517.0
1020.0	523.0
1021.0	497.0
1022.0	483.0
1023.0	474.0
1024.0	464.0
1025.0	437.0
1026.0	494.0
1027.0	492.0
1028.0	441.0
1029.0	455.0
1030.0	517.0
1031.0	518.0
1032.0	470.0
1033.0	466.0
1034.0	420.0
1035.0	440.0
1036.0	458.0
1037.0	477.0
1038.0	471.0
1039.0	439.0
1040.0	449.0
1041.0	415.0
1042.0	416.0
1043.0	425.0
1044.0	436.0
1045.0	480.0
1046.0	449.0
1047.0	439.0
1048.0	457.0
1049.0	480.0
1050.0	494.0
1051.0	497.0
1052.0	442.0
1053.0	437.0
1054.0	409.0
1055.0	406.0
1056.0	436.0
1057.0	443.0
1058.0	431.0
1059.0	393.0
1060.0	391.0
1061.0	463.0
1062.0	406.0
1063.0	410.0
1064.0	407.0
1065.0	404.0
1066.0	405.0
1067.0	386.0
1068.0	400.0
1069.0	414.0
1070.0	422.0
1071.0	416.0
1072.0	368.0
1073.0	400.0
1074.0	386.0
1075.0	423.0
1076.0	408.0
1077.0	381.0
1078.0	380.0
1079.0	416.0
1080.0	418.0
1081.0	394.0
1082.0	445.0
1083.0	434.0
1084.0	427.0
1085.0	361.0
1086.0	380.0
1087.0	405.0
1088.0	386.0
1089.0	422.0
1090.0	407.0
1091.0	394.0
1092.0	375.0
1093.0	387.0
1094.0	396.0
1095.0	408.0
1096.0	357.0
1097.0	398.0
1098.0	386.0
1099.0	413.0
1100.0	393.0
1101.0	406.0
1102.0	358.0
1103.0	391.0
1104.0	390.0
1105.0	356.0
1106.0	381.0
1107.0	348.0
1108.0	360.0
1109.0	362.0
1110.0	386.0
1111.0	344.0
1112.0	320.0
1113.0	341.0
1114.0	347.0
1115.0	356.0
1116.0	356.0
1117.0	370.0
1118.0	338.0
1119.0	358.0
1120.0	351.0
1121.0	344.0
1122.0	350.0
1123.0	330.0
1124.0	349.0
1125.0	350.0
1126.0	368.0
1127.0	336.0
1128.0	387.0
1129.0	352.0
1130.0	386.0
1131.0	391.0
1132.0	297.0
1133.0	367.0
1134.0	376.0
1135.0	347.0
1136.0	339.0
1137.0	364.0
1138.0	344.0
1139.0	348.0
1140.0	316.0
1141.0	334.0
1142.0	344.0
1143.0	355.0
1144.0	340.0
1145.0	344.0
1146.0	331.0
1147.0	380.0
1148.0	365.0
1149.0	349.0
1150.0	332.0
1151.0	360.0
1152.0	345.0
1153.0	334.0
1154.0	360.0
1155.0	347.0
1156.0	376.0
1157.0	355.0
1158.0	352.0
1159.0	310.0
1160.0	314.0
1161.0	292.0
1162.0	302.0
1163.0	312.0
1164.0	359.0
1165.0	306.0
1166.0	347.0
1167.0	301.0
1168.0	314.0
1169.0	333.0
1170.0	335.0
1171.0	328.0
1172.0	333.0
1173.0	330.0
1174.0	311.0
1175.0	363.0
1176.0	318.0
1177.0	322.0
1178.0	332.0
1179.0	316.0
1180.0	316.0
1181.0	318.0
1182.0	332.0
1183.0	352.0
1184.0	319.0
1185.0	307.0
1186.0	311.0
1187.0	307.0
1188.0	307.0
1189.0	330.0
1190.0	337.0
1191.0	313.0
1192.0	335.0
1193.0	310.0
1194.0	314.0
1195.0	310.0
1196.0	300.0
1197.0	344.0
1198.0	336.0
1199.0	331.0
1200.0	340.0
1201.0	324.0
1202.0	325.0
1203.0	342.0
1204.0	346.0
1205.0	345.0
1206.0	302.0
1207.0	316.0
1208.0	287.0
1209.0	299.0
1210.0	312.0
1211.0	301.0
1212.0	351.0
1213.0	274.0
1214.0	306.0
1215.0	304.0
1216.0	341.0
1217.0	326.0
1218.0	288.0
1219.0	303.0
1220.0	287.0
1221.0	297.0
1222.0	343.0
1223.0	300.0
1224.0	313.0
1225.0	314.0
1226.0	301.0
1227.0	304.0
1228.0	301.0
1229.0	311.0
1230.0	326.0
1231.0	348.0
1232.0	369.0
1233.0	311.0
1234.0	332.0
1235.0	348.0
1236.0	331.0
1237.0	326.0
1238.0	304.0
1239.0	331.0
1240.0	310.0
1241.0	327.0
1242.0	359.0
1243.0	324.0
1244.0	315.0
1245.0	309.0
1246.0	303.0
1247.0	297.0
1248.0	293.0
1249.0	321.0
1250.0	315.0
1251.0	312.0
1252.0	317.0
1253.0	292.0
1254.0	317.0
1255.0	317.0
1256.0	309.0
1257.0	337.0
1258.0	334.0
1259.0	304.0
1260.0	331.0
1261.0	333.0
1262.0	321.0
1263.0	308.0
1264.0	331.0
1265.0	301.0
1266.0	304.0
1267.0	314.0
1268.0	307.0
1269.0	292.0
1270.0	315.0
1271.0	308.0
1272.0	320.0
1273.0	303.0
1274.0	278.0
1275.0	331.0
1276.0	297.0
1277.0	354.0
1278.0	318.0
1279.0	282.0
1280.0	338.0
1281.0	295.0
1282.0	291.0
1283.0	331.0
1284.0	303.0
1285.0	333.0
1286.0	307.0
1287.0	307.0
1288.0	331.0
1289.0	335.0
1290.0	301.0
1291.0	310.0
