#Coverage	Number of genomic locations
952.0	583.0
953.0	607.0
954.0	561.0
955.0	563.0
956.0	610.0
957.0	545.0
958.0	578.0
959.0	543.0
960.0	596.0
961.0	546.0
962.0	521.0
963.0	501.0
964.0	543.0
965.0	526.0
966.0	545.0
967.0	504.0
968.0	532.0
969.0	544.0
970.0	516.0
971.0	537.0
972.0	549.0
973.0	524.0
974.0	515.0
975.0	497.0
976.0	533.0
977.0	514.0
978.0	475.0
979.0	482.0
980.0	505.0
981.0	527.0
982.0	469.0
983.0	537.0
984.0	504.0
985.0	511.0
986.0	484.0
987.0	485.0
988.0	531.0
989.0	514.0
990.0	481.0
991.0	480.0
992.0	548.0
993.0	528.0
994.0	544.0
995.0	539.0
996.0	490.0
997.0	476.0
998.0	497.0
999.0	507.0
1000.0	502.0
1001.0	512.0
1002.0	507.0
1003.0	471.0
1004.0	501.0
1005.0	497.0
1006.0	486.0
1007.0	448.0
1008.0	481.0
1009.0	479.0
1010.0	485.0
1011.0	453.0
1012.0	484.0
1013.0	500.0
1014.0	514.0
1015.0	488.0
1016.0	504.0
1017.0	526.0
1018.0	466.0
1019.0	505.0
1020.0	459.0
1021.0	519.0
1022.0	494.0
1023.0	458.0
1024.0	440.0
1025.0	472.0
1026.0	426.0
1027.0	476.0
1028.0	494.0
1029.0	475.0
1030.0	444.0
1031.0	452.0
1032.0	515.0
1033.0	468.0
1034.0	421.0
1035.0	468.0
1036.0	468.0
1037.0	525.0
1038.0	489.0
1039.0	480.0
1040.0	475.0
1041.0	487.0
1042.0	512.0
1043.0	501.0
1044.0	513.0
1045.0	480.0
1046.0	454.0
1047.0	473.0
1048.0	483.0
1049.0	484.0
1050.0	456.0
1051.0	455.0
1052.0	480.0
1053.0	490.0
1054.0	467.0
1055.0	444.0
1056.0	479.0
1057.0	420.0
1058.0	490.0
1059.0	448.0
1060.0	433.0
1061.0	423.0
1062.0	443.0
1063.0	439.0
1064.0	431.0
1065.0	441.0
1066.0	453.0
1067.0	448.0
1068.0	433.0
1069.0	415.0
1070.0	432.0
1071.0	466.0
1072.0	431.0
1073.0	413.0
1074.0	431.0
1075.0	450.0
1076.0	448.0
1077.0	483.0
1078.0	421.0
1079.0	496.0
1080.0	480.0
1081.0	439.0
1082.0	512.0
1083.0	423.0
1084.0	444.0
1085.0	463.0
1086.0	452.0
1087.0	454.0
1088.0	462.0
1089.0	448.0
1090.0	444.0
1091.0	396.0
1092.0	450.0
1093.0	474.0
1094.0	507.0
1095.0	440.0
1096.0	445.0
1097.0	455.0
1098.0	444.0
1099.0	444.0
1100.0	401.0
1101.0	426.0
1102.0	415.0
1103.0	418.0
1104.0	422.0
1105.0	449.0
1106.0	423.0
1107.0	456.0
1108.0	463.0
1109.0	436.0
1110.0	375.0
1111.0	374.0
1112.0	393.0
1113.0	419.0
1114.0	417.0
1115.0	456.0
1116.0	434.0
1117.0	427.0
1118.0	452.0
1119.0	408.0
1120.0	480.0
1121.0	474.0
1122.0	409.0
1123.0	429.0
1124.0	426.0
1125.0	406.0
1126.0	430.0
1127.0	402.0
1128.0	431.0
1129.0	420.0
1130.0	436.0
1131.0	396.0
1132.0	445.0
1133.0	393.0
1134.0	426.0
1135.0	433.0
1136.0	420.0
1137.0	409.0
1138.0	421.0
1139.0	486.0
1140.0	402.0
1141.0	434.0
1142.0	431.0
1143.0	455.0
1144.0	400.0
1145.0	421.0
1146.0	429.0
1147.0	482.0
1148.0	449.0
1149.0	408.0
1150.0	439.0
1151.0	386.0
1152.0	407.0
1153.0	448.0
1154.0	393.0
1155.0	413.0
1156.0	433.0
1157.0	419.0
1158.0	439.0
1159.0	414.0
1160.0	419.0
1161.0	406.0
1162.0	421.0
1163.0	413.0
1164.0	432.0
1165.0	441.0
1166.0	409.0
1167.0	404.0
1168.0	435.0
1169.0	439.0
1170.0	431.0
1171.0	405.0
1172.0	409.0
1173.0	379.0
1174.0	384.0
1175.0	421.0
1176.0	426.0
1177.0	369.0
1178.0	412.0
1179.0	419.0
1180.0	478.0
1181.0	410.0
1182.0	435.0
1183.0	423.0
1184.0	433.0
1185.0	393.0
1186.0	389.0
1187.0	421.0
1188.0	395.0
1189.0	373.0
1190.0	457.0
1191.0	400.0
1192.0	414.0
1193.0	367.0
1194.0	348.0
1195.0	379.0
1196.0	402.0
1197.0	372.0
1198.0	401.0
1199.0	398.0
1200.0	394.0
1201.0	411.0
1202.0	426.0
1203.0	398.0
1204.0	399.0
1205.0	364.0
1206.0	394.0
1207.0	418.0
1208.0	368.0
1209.0	411.0
1210.0	390.0
1211.0	370.0
1212.0	403.0
1213.0	429.0
1214.0	396.0
1215.0	402.0
1216.0	380.0
1217.0	359.0
1218.0	411.0
1219.0	393.0
1220.0	375.0
1221.0	376.0
1222.0	384.0
1223.0	351.0
1224.0	382.0
1225.0	406.0
1226.0	360.0
1227.0	391.0
1228.0	392.0
1229.0	382.0
1230.0	373.0
1231.0	366.0
1232.0	390.0
1233.0	396.0
1234.0	388.0
1235.0	390.0
1236.0	387.0
1237.0	395.0
1238.0	363.0
1239.0	410.0
1240.0	356.0
1241.0	371.0
1242.0	359.0
1243.0	355.0
1244.0	343.0
1245.0	344.0
1246.0	376.0
1247.0	367.0
1248.0	377.0
1249.0	359.0
1250.0	331.0
1251.0	334.0
1252.0	377.0
1253.0	342.0
1254.0	331.0
1255.0	373.0
1256.0	337.0
1257.0	379.0
1258.0	337.0
1259.0	366.0
1260.0	355.0
1261.0	355.0
1262.0	361.0
1263.0	345.0
1264.0	333.0
1265.0	352.0
1266.0	377.0
1267.0	348.0
1268.0	337.0
1269.0	328.0
1270.0	339.0
1271.0	297.0
1272.0	326.0
1273.0	329.0
1274.0	312.0
1275.0	361.0
1276.0	318.0
1277.0	324.0
1278.0	292.0
1279.0	328.0
1280.0	330.0
1281.0	296.0
1282.0	305.0
1283.0	341.0
1284.0	324.0
1285.0	367.0
1286.0	318.0
1287.0	309.0
1288.0	310.0
1289.0	336.0
1290.0	312.0
1291.0	324.0
1292.0	330.0
1293.0	287.0
1294.0	327.0
1295.0	314.0
1296.0	345.0
1297.0	300.0
1298.0	357.0
1299.0	306.0
1300.0	346.0
1301.0	349.0
1302.0	302.0
1303.0	319.0
1304.0	320.0
1305.0	300.0
1306.0	340.0
1307.0	288.0
1308.0	306.0
1309.0	320.0
1310.0	317.0
1311.0	307.0
1312.0	317.0
1313.0	311.0
1314.0	315.0
1315.0	301.0
1316.0	294.0
1317.0	285.0
1318.0	311.0
1319.0	303.0
1320.0	302.0
1321.0	296.0
1322.0	266.0
1323.0	259.0
1324.0	296.0
1325.0	296.0
1326.0	314.0
1327.0	297.0
1328.0	308.0
1329.0	268.0
1330.0	280.0
1331.0	270.0
1332.0	313.0
1333.0	268.0
1334.0	292.0
1335.0	286.0
1336.0	305.0
1337.0	299.0
1338.0	324.0
1339.0	298.0
1340.0	303.0
1341.0	292.0
1342.0	326.0
1343.0	260.0
1344.0	296.0
1345.0	320.0
1346.0	288.0
1347.0	294.0
1348.0	298.0
1349.0	281.0
1350.0	265.0
1351.0	324.0
1352.0	309.0
1353.0	316.0
1354.0	278.0
1355.0	289.0
1356.0	316.0
1357.0	315.0
1358.0	282.0
1359.0	315.0
1360.0	274.0
1361.0	293.0
1362.0	288.0
1363.0	301.0
1364.0	294.0
1365.0	277.0
1366.0	275.0
1367.0	262.0
1368.0	268.0
1369.0	287.0
1370.0	321.0
1371.0	281.0
