#Position (bp)	Coverage
1.0352273525E9	38.06593567719026
1.0429818645E9	36.43933338422843
1.0507363765E9	37.394591432703955
1.0584908885E9	37.9872280808902
1.0624550525E9	38.241427716665896
1.0663323085E9	37.071456235680735
1.0739999125E9	37.067286890522574
1.0817544245E9	35.723123002453285
1.0895089365E9	37.43905818960626
1.0972634485E9	38.95866174428513
1.1050179605E9	38.3751142560615
1.1127724725E9	36.97751825002012
1.1205269845E9	45.020478787059716
1.1282814965E9	35.54451924247457
1.1360360085E9	37.45111336470948
1.1437905205E9	35.60067919167576
1.1515450325E9	37.51747524537972
1.1592995445E9	34.461235987512815
1.1670540565E9	36.250027596836524
1.1748085685E9	38.041432652370645
1.1825630805E9	36.46485929740002
1.1903175925E9	36.743841262996305
1.1980721045E9	38.544817778346335
1.2058266165E9	37.31074876149524
1.2135811285E9	37.53042306208308
1.2213356405E9	38.319180884625624
1.2290901525E9	35.628571727015185
1.233312218E9	32.57123861146517
1.237189474E9	37.6468362648946
1.2445991765E9	35.99687794667156
1.2523536885E9	36.859264000107295
1.2601082005E9	38.260727560934846
1.2678627125E9	37.71063375748209
1.2756172245E9	37.81998996197311
1.2833717365E9	36.38525016145439
1.2911262485E9	26.797943958304533
1.2988807605E9	51.57245962092779
1.3066352725E9	35.776405788010905
1.3143897845E9	35.600756050155056
1.3221442965E9	37.004009407684194
1.3298988085E9	36.94052133777084
1.3376533205E9	39.01211849307861
1.3454078325E9	35.77245260565719
1.3531623445E9	36.890417991486764
1.3609168565E9	36.906870348514516
1.3686713685E9	37.194595868830945
1.3764258805E9	36.584846989726756
1.3841803925E9	36.939575565812525
1.3904266695E9	36.83052788472538
1.3943039255E9	35.45708593156902
1.3996894165E9	36.86599092244619
1.4074439285E9	36.038631702420474
1.4151984405E9	36.78056182000879
1.4229529525E9	37.64820597350291
1.4307074645E9	36.279553890689705
1.4384619765E9	84.22135680491564
1.4462164885E9	37.12751814685437
1.4539710005E9	37.55193673051251
1.4617255125E9	37.703912767173485
1.4694800245E9	36.52757259257578
1.4772345365E9	39.41906570007242
1.4849890485E9	36.820855909436986
1.4927435605E9	39.28309673129657
1.5004980725E9	36.20878476943488
1.5082525845E9	35.10302376216582
1.5160070965E9	37.19456311370722
1.5237616085E9	37.90199821729594
1.5315161205E9	36.88964076656274
1.5372765445E9	34.59960768237353
1.5411538005E9	38.46003486305519
1.5470251445E9	36.861791947707346
1.5547796565E9	36.10061303664241
1.5625341685E9	36.26303563654296
1.5702886805E9	36.42568017175033
1.5780431925E9	31.283181069292304
