#Position (bp)	insert size	chromosomes
6.319927285E8	1364.5098557322278	0.0
6.397472405E8	742.7839868522632	0.0
6.475017525E8	1317.7368014870324	830.0
6.552562645E8	777.5031772704541	0.0
6.630107765E8	704.5186026047488	0.0
6.707652885E8	571.886807246509	830.0
6.785198005E8	415.3263248027604	0.0
6.862743125E8	390.1906231807895	0.0
6.903119965E8	364.2368354401234	830.0
6.941892525E8	12376.31864233309	0.0
7.017833365E8	7449.302024720548	0.0
7.095378485E8	10050.085335925018	830.0
7.172923605E8	7054.392419695882	0.0
7.250468725E8	4517.171545750248	0.0
7.328013845E8	4971.085246470201	830.0
7.405558965E8	3772.201201953971	0.0
7.483104085E8	5421.14964000607	0.0
7.560649205E8	3104.0080060717896	830.0
7.638194325E8	3595.006555651077	0.0
7.715739445E8	5058.602518271406	0.0
7.793284565E8	2897.02915962635	830.0
7.870829685E8	1630.7341177168214	0.0
7.948374805E8	1837.3119986465065	0.0
8.025919925E8	1312.0216692255635	830.0
8.103465045E8	1580.7801724799067	0.0
8.181010165E8	1578.1792394820136	0.0
8.258555285E8	1001.6281394377091	830.0
8.336100405E8	1057.012749678178	0.0
8.413645525E8	831.0661695949185	0.0
8.491190645E8	616.4563379044245	830.0
8.568735765E8	539.0687442655842	0.0
8.646280885E8	431.2674931166841	0.0
8.723826005E8	419.10003925698254	830.0
8.789432785E8	372.821770873796	0.0
8.828205345E8	7143.078692194026	0.0
8.878916245E8	5828.655714274708	830.0
8.956461365E8	6459.94384345294	0.0
9.034006485E8	9050.99468384164	0.0
9.111551605E8	6422.063020616029	830.0
9.189096725E8	3406.4746506879846	0.0
9.266641845E8	4409.3363385203	0.0
9.344186965E8	4204.437264088439	830.0
9.421732085E8	2989.3362431788955	0.0
9.499277205E8	5332.493275776658	0.0
9.576822325E8	4384.8234548052715	830.0
9.654367445E8	2720.6986332859456	0.0
9.731912565E8	2934.3961577412524	0.0
9.809457685E8	1970.0952609491292	830.0
9.887002805E8	1450.0408910091353	0.0
9.964547925E8	1695.0744648494542	0.0
1.0042093045E9	1415.6651219523465	830.0
1.0119638165E9	1169.8642056804406	0.0
1.0197183285E9	1061.2151096789692	0.0
1.0274728405E9	757.9039417545212	830.0
1.0352273525E9	670.8985917439409	0.0
1.0429818645E9	458.59709145526426	0.0
1.0507363765E9	448.8252594691059	830.0
1.0584908885E9	383.7292296543518	0.0
1.0624550525E9	368.7628287881233	0.0
1.0663323085E9	8517.988145005482	830.0
1.0739999125E9	8644.5399157349	0.0
1.0817544245E9	9472.848477475241	0.0
1.0895089365E9	7403.724242656702	830.0
1.0972634485E9	6345.638641214726	0.0
