#Position (bp)	insert size	chromosomes
9.189096725E8	2656.1811636812668	0.0
9.266641845E8	5052.04357641847	0.0
9.344186965E8	3257.131240910949	828.0
9.421732085E8	3358.7192015766486	0.0
9.499277205E8	3867.350819813633	0.0
9.576822325E8	3362.795282536401	828.0
9.654367445E8	2757.648803060392	0.0
9.731912565E8	2119.1482418707583	0.0
9.809457685E8	2042.7353454575536	828.0
9.887002805E8	1740.2230618844237	0.0
9.964547925E8	1477.9595416042932	0.0
1.0042093045E9	1122.1882017271005	828.0
1.0119638165E9	1369.9791770610825	0.0
1.0197183285E9	828.0303956748868	0.0
1.0274728405E9	706.3347581550241	828.0
1.0352273525E9	507.7812405971636	0.0
1.0429818645E9	544.5242437743505	0.0
1.0507363765E9	431.241287382796	828.0
1.0584908885E9	388.8603642248347	0.0
1.0624550525E9	366.47706533150284	0.0
1.0663323085E9	6701.108776586117	828.0
1.0739999125E9	6930.04455917417	0.0
1.0817544245E9	7266.997772955909	0.0
1.0895089365E9	6105.0478668303895	828.0
1.0972634485E9	5547.578283516818	0.0
1.1050179605E9	3920.018322689572	0.0
1.1127724725E9	4078.042430306402	828.0
1.1205269845E9	2147.6681460455525	0.0
1.1282814965E9	2173.8322326694606	0.0
1.1360360085E9	2391.4384817960854	828.0
1.1437905205E9	1257.245234621246	0.0
1.1515450325E9	2038.7454667580687	0.0
1.1592995445E9	1258.6892510909731	828.0
1.1670540565E9	1327.2372631524822	0.0
1.1748085685E9	977.0351553995644	0.0
1.1825630805E9	895.0705119742422	828.0
1.1903175925E9	619.9656290568381	0.0
1.1980721045E9	634.3183789010295	0.0
1.2058266165E9	410.8975747098783	828.0
1.2135811285E9	566.3551582352178	0.0
1.2213356405E9	406.207173607629	0.0
1.2290901525E9	380.64043908307417	828.0
1.233312218E9	366.1523410610321	0.0
1.237189474E9	12286.925161332905	0.0
1.2445991765E9	6111.112313196173	828.0
1.2523536885E9	5235.731016062306	0.0
1.2601082005E9	4817.633840321017	0.0
1.2678627125E9	4859.320606423518	828.0
1.2756172245E9	4092.7861909944613	0.0
1.2833717365E9	2005.66576076886	0.0
1.2911262485E9	3461.8439897979374	828.0
1.2988807605E9	2996.662575056628	0.0
1.3066352725E9	4879.799786121903	0.0
1.3143897845E9	1745.3154144550379	828.0
1.3221442965E9	1698.158582328099	0.0
1.3298988085E9	1964.2725972753917	0.0
1.3376533205E9	3079.48766599043	828.0
1.3454078325E9	942.1605812846502	0.0
1.3531623445E9	1479.08444729221	0.0
1.3609168565E9	770.749787073761	828.0
1.3686713685E9	504.4677450014048	0.0
1.3764258805E9	574.9477763190362	0.0
1.3841803925E9	458.39675910520197	828.0
1.3904266695E9	376.64560307943884	0.0
1.3943039255E9	3374.29301292759	0.0
1.3996894165E9	5241.737674731473	828.0
1.4074439285E9	4474.732551087572	0.0
1.4151984405E9	4212.430328000075	0.0
1.4229529525E9	2856.046260711682	828.0
1.4307074645E9	3285.828559069957	0.0
1.4384619765E9	859.1177080320483	0.0
1.4462164885E9	1677.023590350307	828.0
1.4539710005E9	1251.2479447289913	0.0
1.4617255125E9	1486.822424594646	0.0
1.4694800245E9	1599.797420573103	828.0
1.4772345365E9	987.4748177944304	0.0
1.4849890485E9	776.7601839413041	0.0
1.4927435605E9	816.2310232475062	828.0
1.5004980725E9	642.7281758369845	0.0
1.5082525845E9	676.5742255417784	0.0
1.5160070965E9	547.1271094858741	828.0
1.5237616085E9	436.11657343052497	0.0
1.5315161205E9	373.75345819413	0.0
1.5372765445E9	397.89632927954887	828.0
1.5411538005E9	6664.656242460691	0.0
1.5470251445E9	8768.132944874573	0.0
1.5547796565E9	2744.3245305697856	828.0
1.5625341685E9	3019.962341708514	0.0
1.5702886805E9	3575.6087925810407	0.0
1.5780431925E9	6234.297308110025	828.0
1.5857977045E9	5827.742893197977	0.0
1.5935522165E9	0.0	0.0
1.6013067285E9	4234.465543911211	828.0
1.6090612405E9	1277.9076127263745	0.0
1.6168157525E9	1950.8843510519516	0.0
1.6245702645E9	1653.5389223756652	828.0
1.6323247765E9	1268.009778354804	0.0
1.6400792885E9	964.9887113313105	0.0
1.6478338005E9	606.6922806056575	828.0
1.6555883125E9	593.7728835338154	0.0
1.6633428245E9	459.834499134719	0.0
1.6710973365E9	428.1195785371159	828.0
1.677673868E9	386.5351341571287	0.0
1.681551124E9	6078.951223932496	0.0
1.6866063605E9	5869.76985522996	828.0
1.6943608725E9	6713.576902268459	0.0
1.7021153845E9	5522.65675821646	0.0
1.7098698965E9	7680.438214466271	828.0
1.7176244085E9	9826.89460644717	0.0
1.7253789205E9	1138.5137023389138	0.0
1.7331334325E9	2003.2284701099063	828.0
1.7408879445E9	1937.5231735503387	0.0
1.7486424565E9	1334.9540167476077	0.0
1.7563969685E9	1353.548468109186	828.0
1.7641514805E9	1042.8424670873987	0.0
1.7719059925E9	757.4080136592246	0.0
1.7796605045E9	695.122853180766	828.0
1.7874150165E9	523.8712708931032	0.0
1.7951695285E9	449.05641869361614	0.0
1.8029240405E9	427.93632034684083	828.0
1.8106785525E9	386.1204233212529	0.0
1.8152318495E9	370.0014901688418	0.0
1.8191091055E9	4456.224052723817	828.0
1.8261875765E9	3293.2214454402133	0.0
1.8339420885E9	2971.792065326503	0.0
1.8416966005E9	2550.179580622009	828.0
1.8494511125E9	2000.5553743292658	0.0
1.8572056245E9	2953.3555528651586	0.0
1.8649601365E9	1813.759041077459	828.0
1.8727146485E9	1626.0579499358412	0.0
1.8804691605E9	4451.616927267866
1.8882236725E9	1312.1789503887098
1.8959781845E9	1045.7046682843434
1.9037326965E9	685.4652504780115
1.9114872085E9	611.0609064882178
1.9192417205E9	544.2850035630146
1.9269962325E9	725.1414660927383
1.9347507445E9	379.85281320517134
1.9425052565E9	384.14140255413156
1.9486484595E9	369.9660313658825
1.9525257155E9	6369.042499339543
1.9580142805E9	6388.176089355643
1.9657687925E9	5273.330939591791
1.9735233045E9	4462.182026699702
1.9812778165E9	3171.192757968871
1.9890323285E9	2370.270313873113
1.9967868405E9	2915.6634242009636
2.0045413525E9	3374.2837082920482
2.0122958645E9	1883.7560033016414
2.0200503765E9	1964.4634977252244
2.0278048885E9	1004.4705385269839
2.0355594005E9	872.6276065487167
2.0433139125E9	930.6540707975523
2.0510684245E9	783.1174596968211
2.0588229365E9	709.9438318588575
2.0665774485E9	688.3767642875215
2.0743319605E9	474.26410580470105
2.081487759E9	374.15289964665595
2.085365015E9	0.0
2.0898409845E9	0.0
2.0975954965E9	0.0
2.1053500085E9	2736.055309488304
2.1131045205E9	1797.6065336815402
2.1208590325E9	1604.2151323315443
2.1286135445E9	1717.790062697386
2.1363680565E9	1013.834851540479
2.1441225685E9	1193.4287541550536
2.1518770805E9	834.4554501131383
2.1596315925E9	426.7202118727616
2.1673861045E9	459.1932461132711
2.1751406165E9	492.20740329540007
2.1828951285E9	413.34516901947484
2.1906496405E9	370.351603074447
2.197231538E9	368.2766024898318
2.201108794E9	0.0
2.2061586645E9	0.0
2.2139131765E9	0.0
2.2216676885E9	1830.2373709485803
2.2294222005E9	1108.4029621364336
2.2371767125E9	2537.7074176941474
2.2449312245E9	1180.7773169802845
2.2526857365E9	1065.4330960053437
2.2604402485E9	1081.9190904250434
2.2681947605E9	854.4273182698159
2.2759492725E9	910.9039184507324
2.2837037845E9	464.6673986870923
2.2914582965E9	410.26381502910743
2.2992128085E9	578.842742806338
2.305187892E9	381.4490331973074
2.309065148E9	0.0
2.3147218325E9	0.0
2.3224763445E9	0.0
2.3302308565E9	1912.580996441775
2.3379853685E9	3157.8022696157173
2.3457398805E9	1874.421951321756
2.3534943925E9	1853.0474566511382
2.3612489045E9	1413.9747110257433
2.3690034165E9	858.1959182258381
2.3767579285E9	755.133642690589
2.3845124405E9	579.5171467836427
2.3922669525E9	468.55849487257666
2.4000214645E9	425.60021523098027
2.406857916E9	388.4839182370145
2.410735172E9	2942.219631111545
2.4155304885E9	4676.412652887895
